coord_id,lon,lat,date,value
2,110.16165007437614,-7.631639975446285,2018-01-22 12:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 12:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 01:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 01:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 02:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 02:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 03:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 03:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 04:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 04:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 05:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 05:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 06:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 06:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 07:00,1.19370436668396
2,110.16165007437614,-7.631639975446285,2018-01-22 07:30,0.7247626185417175
2,110.16165007437614,-7.631639975446285,2018-01-22 08:00,2.017758369445801
2,110.16165007437614,-7.631639975446285,2018-01-22 08:30,10.328606605529785
2,110.16165007437614,-7.631639975446285,2018-01-22 09:00,5.7015485763549805
2,110.16165007437614,-7.631639975446285,2018-01-22 09:30,8.790104866027832
2,110.16165007437614,-7.631639975446285,2018-01-22 10:00,4.318155288696289
2,110.16165007437614,-7.631639975446285,2018-01-22 10:30,3.77089262008667
2,110.16165007437614,-7.631639975446285,2018-01-22 11:00,1.3065811395645142
2,110.16165007437614,-7.631639975446285,2018-01-22 11:30,1.533078908920288
2,110.16165007437614,-7.631639975446285,2018-01-22 12:00,1.4945372343063354
2,110.16165007437614,-7.631639975446285,2018-01-22 12:30,1.9185242652893066
2,110.16165007437614,-7.631639975446285,2018-01-22 01:00,0.8767411112785339
2,110.16165007437614,-7.631639975446285,2018-01-22 01:30,0.5623260736465454
2,110.16165007437614,-7.631639975446285,2018-01-22 02:00,0.09686467051506042
2,110.16165007437614,-7.631639975446285,2018-01-22 02:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 03:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 03:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 04:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 04:30,0.005826398730278015
2,110.16165007437614,-7.631639975446285,2018-01-22 05:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 05:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 06:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 06:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 07:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 07:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 08:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 08:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 09:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 09:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 10:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 10:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 11:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-22 11:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 12:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 12:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 01:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 01:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 02:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 02:30,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 03:00,0.11666321009397507
2,110.16165007437614,-7.631639975446285,2018-01-23 03:30,0.12856228649616241
2,110.16165007437614,-7.631639975446285,2018-01-23 04:00,0.23251613974571228
2,110.16165007437614,-7.631639975446285,2018-01-23 04:30,0.906930685043335
2,110.16165007437614,-7.631639975446285,2018-01-23 05:00,0.9069221019744873
2,110.16165007437614,-7.631639975446285,2018-01-23 05:30,0.8919755816459656
2,110.16165007437614,-7.631639975446285,2018-01-23 06:00,0.9592621326446533
2,110.16165007437614,-7.631639975446285,2018-01-23 06:30,0.7452471256256104
2,110.16165007437614,-7.631639975446285,2018-01-23 07:00,2.1232597827911377
2,110.16165007437614,-7.631639975446285,2018-01-23 07:30,1.1879456043243408
2,110.16165007437614,-7.631639975446285,2018-01-23 08:00,0.22465825080871582
2,110.16165007437614,-7.631639975446285,2018-01-23 08:30,0.1157730221748352
2,110.16165007437614,-7.631639975446285,2018-01-23 09:00,0.5594713687896729
2,110.16165007437614,-7.631639975446285,2018-01-23 09:30,0.7221423387527466
2,110.16165007437614,-7.631639975446285,2018-01-23 10:00,2.083914279937744
2,110.16165007437614,-7.631639975446285,2018-01-23 10:30,2.7245776653289795
2,110.16165007437614,-7.631639975446285,2018-01-23 11:00,3.3656868934631348
2,110.16165007437614,-7.631639975446285,2018-01-23 11:30,1.8773295879364014
2,110.16165007437614,-7.631639975446285,2018-01-23 12:00,0.0
2,110.16165007437614,-7.631639975446285,2018-01-23 12:30,0.3795682191848755
2,110.16165007437614,-7.631639975446285,2018-01-23 01:00,0.4913962483406067
2,110.16165007437614,-7.631639975446285,2018-01-23 01:30,0.8186805844306946
